Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
282, 2802, 6.81%, 19.19%, 26.20%, 19.07%, 40.40%, 14.08%, 244, 2.02%, 0.00%, 2.15%, 21.23%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
283, 57560, 16.87%, 60.42%, 93.53%, 58.52%, 91.53%, 41.00%, 14439, 0.00%, 0.00%, 3.21%, 89.09%, 0.00%, 0.00%, 896, 98.96%, 0.00%, 1.04%
284, 10375, 10.07%, 31.09%, 41.19%, 29.10%, 57.22%, 23.00%, 1448, 7.02%, 2.00%, 13.87%, 52.19%, 0.00%, 0.00%, 2784, 63.10%, 0.00%, 36.90%
285, 8650, 9.11%, 30.00%, 42.09%, 29.48%, 44.67%, 21.29%, 1114, 5.14%, 0.00%, 9.82%, 44.95%, 0.00%, 0.00%, 256, 93.97%, 0.00%, 6.03%
286, 3008, 9.97%, 33.49%, 42.00%, 32.57%, 44.90%, 22.50%, 386, 0.00%, 0.00%, 2.14%, 40.49%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
287, 2464, 4.48%, 8.13%, 11.00%, 9.32%, 22.24%, 6.24%, 88, 1.02%, 0.00%, 1.07%, 27.25%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
288, 2269, 4.58%, 7.26%, 9.24%, 6.02%, 14.33%, 4.00%, 60, 1.01%, 0.00%, 1.10%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
289, 2437, 5.68%, 8.00%, 13.25%, 13.35%, 18.46%, 15.53%, 88, 0.00%, 0.00%, 0.00%, 33.25%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
290, 2369, 3.37%, 2.07%, 3.04%, 3.05%, 13.08%, 4.13%, 21, 0.00%, 0.00%, 2.12%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
291, 2405, 3.37%, 2.03%, 3.02%, 3.07%, 13.00%, 3.05%, 20, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
292, 2898, 9.01%, 29.65%, 39.63%, 30.00%, 58.56%, 22.31%, 392, 0.00%, 0.00%, 0.00%, 53.32%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
293, 1882, 2.18%, 0.00%, 1.07%, 1.05%, 18.20%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
294, 2019, 3.67%, 0.00%, 1.01%, 0.00%, 7.66%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
295, 2070, 4.45%, 5.06%, 7.00%, 7.14%, 14.04%, 5.18%, 48, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
296, 2130, 3.42%, 0.00%, 1.09%, 1.08%, 7.46%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 33.63%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
297, 2251, 2.43%, 0.00%, 1.02%, 1.00%, 16.34%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 30.68%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
298, 1782, 4.58%, 3.00%, 4.16%, 3.08%, 10.61%, 2.04%, 26, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
299, 2274, 4.48%, 11.38%, 17.50%, 11.04%, 17.54%, 10.30%, 140, 1.02%, 0.00%, 1.11%, 29.50%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
300, 1782, 3.65%, 0.00%, 1.09%, 1.07%, 8.00%, 1.04%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
301, 5699, 3.48%, 1.02%, 1.03%, 1.03%, 7.23%, 0.00%, 28, 0.00%, 0.00%, 0.00%, 4.27%, 0.00%, 0.00%, 160, 61.82%, 0.00%, 38.18%
302, 2310, 3.51%, 3.18%, 5.00%, 3.06%, 20.67%, 2.10%, 36, 0.00%, 0.00%, 1.11%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
303, 3674, 3.35%, 0.00%, 14.07%, 5.07%, 9.00%, 5.02%, 127, 1.03%, 0.00%, 1.07%, 18.35%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
304, 2490, 4.58%, 1.01%, 23.15%, 13.39%, 14.82%, 13.27%, 195, 0.00%, 0.00%, 0.00%, 22.68%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
305, 7171, 3.33%, 1.00%, 4.01%, 4.12%, 4.02%, 3.03%, 169, 3.07%, 1.01%, 3.20%, 15.10%, 0.00%, 0.00%, 1056, 38.69%, 0.00%, 61.31%
306, 6313, 2.23%, 0.00%, 1.03%, 2.01%, 5.08%, 2.01%, 77, 1.00%, 0.00%, 1.05%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
307, 7047, 3.35%, 1.01%, 2.00%, 3.02%, 4.01%, 3.01%, 156, 3.00%, 0.00%, 3.22%, 10.73%, 0.00%, 0.00%, 240, 0.00%, 0.00%, 100.00%
308, 2218, 3.47%, 1.00%, 11.39%, 10.26%, 15.30%, 9.18%, 126, 0.00%, 0.00%, 0.00%, 29.39%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
309, 3099, 3.37%, 1.03%, 6.00%, 8.08%, 10.09%, 8.09%, 161, 5.06%, 0.00%, 5.38%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
310, 2284, 3.45%, 0.00%, 5.19%, 5.08%, 14.53%, 4.07%, 67, 1.02%, 0.00%, 1.09%, 29.34%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
311, 6392, 4.52%, 4.06%, 2.03%, 3.05%, 6.01%, 3.01%, 139, 9.09%, 4.00%, 5.39%, 13.92%, 0.00%, 0.00%, 3408, 9.26%, 0.00%, 90.74%
312, 2977, 8.06%, 4.25%, 26.00%, 23.20%, 26.41%, 18.62%, 330, 1.07%, 0.00%, 2.13%, 32.09%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
313, 6204, 5.13%, 4.60%, 6.88%, 6.00%, 8.01%, 7.92%, 236, 5.04%, 3.43%, 6.12%, 29.01%, 0.00%, 0.00%, 1576, 0.00%, 0.00%, 100.00%
314, 2021, 3.50%, 0.00%, 7.48%, 6.32%, 18.54%, 6.25%, 74, 0.00%, 0.00%, 0.00%, 29.66%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
315, 2535, 4.58%, 1.03%, 9.17%, 7.00%, 13.24%, 7.10%, 120, 2.03%, 0.00%, 2.19%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
316, 19264, 14.74%, 48.47%, 63.46%, 46.60%, 94.32%, 31.00%, 3752, 2.01%, 0.00%, 2.14%, 72.65%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
317, 3274, 8.99%, 25.41%, 34.29%, 25.00%, 45.64%, 19.36%, 374, 5.03%, 0.00%, 8.30%, 43.49%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
318, 60400, 17.95%, 64.09%, 84.39%, 60.00%, 97.16%, 43.20%, 15889, 52.23%, 2.01%, 71.77%, 91.15%, 0.00%, 0.00%, 11592, 84.68%, 0.00%, 15.32%
319, 6405, 5.87%, 10.37%, 13.74%, 9.04%, 20.04%, 7.32%, 256, 1.00%, 0.00%, 1.11%, 14.73%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
320, 7679, 5.58%, 8.03%, 10.06%, 12.28%, 16.11%, 13.01%, 257, 2.00%, 0.00%, 2.15%, 17.12%, 0.00%, 0.00%, 64, 90.58%, 0.00%, 9.42%
321, 2250, 4.48%, 5.00%, 8.06%, 6.03%, 14.29%, 4.05%, 58, 1.01%, 0.00%, 1.07%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
322, 2395, 4.50%, 9.09%, 13.00%, 13.39%, 17.33%, 9.14%, 96, 2.09%, 0.00%, 2.16%, 29.54%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
323, 2026, 3.45%, 1.06%, 2.05%, 1.01%, 7.24%, 1.00%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
324, 119848, 19.00%, 64.11%, 79.08%, 58.12%, 89.15%, 41.07%, 29835, 35.00%, 4.00%, 50.13%, 89.61%, 0.00%, 0.00%, 24656, 80.15%, 0.00%, 19.85%
325, 43241, 15.64%, 55.06%, 69.09%, 51.08%, 88.32%, 36.01%, 9581, 5.00%, 0.00%, 8.56%, 80.04%, 0.00%, 0.00%, 328, 97.86%, 0.00%, 2.14%
326, 10449, 11.77%, 15.53%, 10.46%, 11.29%, 14.00%, 12.17%, 334, 25.75%, 7.47%, 12.21%, 49.70%, 5.47%, 5.50%, 9216, 13.52%, 0.00%, 86.48%
327, 6486, 7.46%, 18.60%, 21.26%, 14.00%, 38.18%, 11.11%, 380, 2.24%, 0.00%, 3.47%, 29.69%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
328, 7370, 9.08%, 27.41%, 28.28%, 20.44%, 44.89%, 17.45%, 688, 16.00%, 3.03%, 25.71%, 39.63%, 0.00%, 0.00%, 1568, 56.06%, 0.00%, 43.94%
329, 6470, 5.65%, 6.00%, 5.05%, 5.05%, 5.04%, 3.01%, 104, 4.03%, 2.01%, 3.20%, 22.78%, 1.07%, 1.08%, 1720, 24.62%, 0.00%, 75.38%
330, 11620, 28.33%, 55.87%, 46.34%, 27.00%, 58.34%, 23.39%, 1493, 53.23%, 20.06%, 34.22%, 69.25%, 0.00%, 0.00%, 28128, 20.65%, 0.00%, 79.35%
331, 2093, 3.42%, 2.05%, 4.14%, 3.11%, 15.00%, 2.04%, 32, 0.00%, 0.00%, 0.00%, 28.65%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
332, 2150, 4.66%, 0.00%, 0.00%, 0.00%, 6.01%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 31.68%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
333, 6526, 11.15%, 35.99%, 36.57%, 36.39%, 53.02%, 41.41%, 384, 1.11%, 0.00%, 3.58%, 50.14%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
334, 32150, 16.80%, 55.09%, 71.34%, 50.00%, 88.27%, 36.07%, 6938, 5.00%, 3.01%, 4.25%, 78.36%, 0.00%, 0.00%, 12144, 75.02%, 0.00%, 24.98%
335, 8504, 14.45%, 52.14%, 67.14%, 50.12%, 84.00%, 35.17%, 1807, 0.00%, 0.00%, 2.14%, 77.05%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
336, 2450, 9.24%, 20.00%, 31.67%, 23.19%, 42.19%, 17.49%, 256, 0.00%, 0.00%, 1.13%, 39.54%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
337, 1785, 2.30%, 2.11%, 3.10%, 2.00%, 17.81%, 2.16%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
338, 7307, 8.79%, 7.00%, 7.91%, 7.19%, 8.21%, 8.21%, 153, 7.84%, 2.06%, 2.35%, 29.74%, 2.39%, 2.39%, 2992, 19.31%, 0.00%, 80.69%
339, 6973, 7.82%, 19.11%, 34.99%, 21.37%, 36.75%, 15.00%, 600, 2.14%, 1.01%, 3.18%, 35.44%, 0.00%, 0.00%, 416, 84.08%, 0.00%, 15.92%
340, 1774, 4.49%, 6.17%, 7.00%, 6.15%, 12.10%, 4.11%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
341, 1767, 3.65%, 2.11%, 4.31%, 3.24%, 14.00%, 2.17%, 28, 0.00%, 0.00%, 0.00%, 35.44%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
342, 2908, 11.41%, 33.41%, 34.84%, 30.00%, 54.37%, 22.01%, 250, 0.00%, 0.00%, 1.09%, 44.85%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
343, 3014, 10.62%, 27.78%, 43.12%, 30.35%, 46.04%, 19.10%, 305, 0.00%, 0.00%, 1.13%, 32.46%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
344, 19075, 12.34%, 39.11%, 54.18%, 39.18%, 78.00%, 28.03%, 3191, 2.00%, 0.00%, 2.14%, 60.82%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
